City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,inirida,3.8653,-67.9239,72.01,71,51,2.33,CO,1675232031
351,nishihara,26.1842,127.7558,73.06,53,20,17.27,JP,1675232217
352,martapura,-3.4167,114.85,86.09,70,40,4.61,ID,1675232217
353,sorland,67.667,12.6934,35.46,64,73,11.48,NO,1675232218
354,oktyabrskoye,43.0645,44.7417,26.74,100,100,4.47,RU,1675232219
355,hambantota,6.1241,81.1185,86.34,79,40,2.3,LK,1675231980
356,praia da vitoria,38.7333,-27.0667,54.75,93,20,9.62,PT,1675232220
357,punta alta,-38.8759,-62.0736,65.05,86,100,10.33,AR,1675232220
358,santa marta,11.2408,-74.199,74.52,73,12,16.11,CO,1675232221
359,chik,54.9928,82.4311,-9.65,77,40,2.24,RU,1675232222
360,jumla,29.2747,82.1838,53.38,15,0,3.29,NP,1675232223
361,areia branca,-4.9561,-37.1369,77.72,76,91,13.82,BR,1675232225
